Nr;Ort;Name;Straße;PLZ;Telefon
65;Klingenthal;Jugendherberge Klingenthal;Grenzweg 22;08248 Klingenthal;+49 37467 70006
66;Lößnitz;Jugendherberge Lößnitz;Volksgutstr. 21;08294 Lößnitz;+49 3771 2356
71;Neudorf;Jugendherberge Neudorf;Am Fichtelberg 1;09465 Sehmatal/OT Neudorf;+49 37342 8282
82;Strehla;Jugendherberge Strehla;Torgauer Str. 33;01616 Strehla;+49 35264 90330
89;Taltitz;Jugendherberge Taltitz;Taltitzer Park;08606 Oelsnitz/OT Taltitz;+49 37421 73019
93;Warmbad;Jugendherberge Warmbad;An der Jugendherberge 6;09429 Wolkenstein/OT Warmbad;+49 37369 9477
95;Altenberg Windischleuba;Jugendherberge Schloss Windischleuba;Pestalozziplatz 1;04603 Windischleuba;+49 3447 800062
96;Altenberg-Zinnwald;Jugendherberge Zinnwald;Bergmannsweg 3;01773 Altenberg/OT Zinnwald;+49 35056 3281
99;Aalen;Schubart-Jugendherberge;Stadionweg 8;73430 Aalen;+49 7361 49203
100;Bad Urach;Jugendherberge Bad Urach;Seebachstr. 9;72574 Bad Urach;+49 7125 8025
101;Bad Urach;Jugendherberge Bad Urach;Seebachstr. 9;72574 Bad Urach;+49 7125 8025
103;Biberach;Jugendherberge Biberach;Heusteige 40;88400 Biberach/Riß;+49 7351 21885
104;Blaubeuren;Jugendherberge Blaubeuren;Auf dem Rucken 69;89143 Blaubeuren;+49 7344 6444
105;Creglingen;Jugendherberge Creglingen;Erdbacher Str. 30;97993 Creglingen;+49 7933 336
107;Freudenstadt;Eugen-Nägele-Jugendherberge;Zur Ziegelhütte 69;72250 Freudenstadt;+49 7441 7720
112;Stuttgart;Jugendherberge Stuttgart International;Haussmannstr. 27;70188 Stuttgart;+49 711 647747-0
113;Tübingen;Jugendherberge Tübingen;Hermann-Kurz-Str. 4;72074 Tübingen;+49 7071 23002
114;Leibertingen-Wildenstein;Jugendherberge Burg Wildenstein;88637 Leibertingen;+49 7466 411
115;Murrhardt;Eugen-Nägele-Jugendherberge;Karnsberger Str. 1;71540 Murrhardt;+49 7192 7501
117;Ulm;Geschwister-Scholl-Jugendherberge;Grimmelfinger Weg 45;89077 Ulm;+49 731 384455
118;Friedrichshafen;Graf-Zeppelin-Jugendherberge;Lindauer Str. 3;88046 Friedrichshafen;+49 7541 72404
119;Sigmaringen;Hohenzollern-Jugendherberge;Hohenzollernstr. 31;72488 Sigmaringen;+49 7571 13277
122;Sonnenbühl-Erpfingen;Jugendherberge Erpfingen;Auf der Reute 1;72820 Sonnenbühl;+49 7128 1652
123;Göppingen-Hohenstaufen;Jugendherberge Hohenstaufen;Schottengasse 41;73037 Göppingen;+49 7165 438
124;Balingen-Lochen;Jugendherberge Lochen;Auf der Lochen 1;72336 Balingen;+49 7433 37383
125;Ludwigsburg;Jugendherberge Ludwigsburg;Gänsbergstr. 21;71640 Ludwigsburg;+49 7141 51564
126;Ravensburg;Jugendherberge Veitsburg;Veitsburgstr. 1;88212 Ravensburg;+49 751 25363
132;Schwäbisch Hall;Jugendherberge Schwäbisch Hall;Langenfelder Weg 5;74523 Schwäbisch Hall;+49 791 41050
135;Weimar;Jugendherberge Am Ettersberg;Ettersburger Str. 300;99427 Weimar;+49 3643 85000129
136;Weimar;Jugendherberge Maxim Gorki;Zum Wilden Graben 12;99425 Weimar;+49 3643 85000133
139;Bad Sulza;Jugendherberge Bad Sulza;August-Bebel-Str. 27;99518 Bad Sulza;+49 3643 8500013
141;Erfurt;Jugendherberge Medienherberge;Hochheimer Str. 12;99094 Erfurt;+49 3643 85000139
147;Mühlhausen;Jugendherberge Mühlhausen;Auf dem Tonberg 1;99974 Mühlhausen;+49 3643 85000119
149;Tambach-Dietharz;Jugendherberge Tambach-Dietharz;Oberhofer Str. 3;99897 Tambach-Dietharz;+49 3643 85000123
150;Plothen;Jugendherberge Am Hausteich;Hausteichstr. 1;07907 Plothen;+49 3643 85000121
151;Weimar;Jugendherberge Am Poseckschen Garten;Humboldtstr. 17;99423 Weimar;+49 3643 85000135
185;Stralsund;Jugendherberge Stralsund;Strandstr. 21;18439 Stralsund;+49 3831 490289
187;Waren (Müritz);Jugendherberge Waren;An der Feisneck 1;17192 Waren (Müritz);+49 3991 186900
188;Warnemünde;Jugendherberge Warnemünde;Parkstr. 47;18119 Rostock-Warnemünde;+49 381 548170
199;Augsburg;Jugendherberge Augsburg;Unterer Graben 6;86152 Augsburg;+49 821 780889-0
200;Bayrischzell-Sudelfeld;Jugendherberge Sudelfeld;Unteres Sudelfeld 9;83735 Bayrischzell;+49 8023 675
204;Bayrischzell-Sudelfeld;Jugendherberge Sudelfeld;Unteres Sudelfeld 9;83735 Bayrischzell;+49 8023 675
205;Benediktbeuern;Don-Bosco-Jugendherberge;Don-Bosco-Str. 3;83671 Benediktbeuern;+49 8857 8835-0
209;Burghausen;Jugendherberge Burghausen;Kapuzinergasse 235;84489 Burghausen;+49 8677 8817910
211;Dachau;Jugendherberge Dachau;Roßwachtstr. 15;85221 Dachau;+49 8131 32295-0
212;Dinkelsbühl;Jugendherberge Dinkelsbühl;Koppengasse 10;91550 Dinkelsbühl;+49 9851 5566-417
215;Eichstätt;Jugendherberge Eichstätt;Reichenau 15;85072 Eichstätt;+49 8421 9804-10
219;Furth im Wald;Jugendherberge Furth im Wald;Daberger Str. 50;93437 Furth im Wald;+49 9973 9254
220;Füssen;Jugendherberge Füssen;Mariahilferstr. 5;87629 Füssen;+49 8362 7754
221;Garmisch-Partenkirchen;Jugendherberge Garmisch-Partenkirchen;Jochstr. 10;82467 Garmisch-Partenkirchen;+49 8821 96705-0
224;Gunzenhausen am Altmühlsee;Jugendherberge Gunzenhausen;Spitalstr. 3;91710 Gunzenhausen;+49 9831 6702-0
230;Ingolstadt;Jugendherberge Ingolstadt;Friedhofstr. 4 1/2;85049 Ingolstadt;+49 841 305128-0
234;Kreuth-Scharling;Jugendherberge Kreuth;Nördliche Hauptstr. 91;83708 Kreuth am Tegernsee;+49 8029 9956-0
239;Lenggries;Jugendherberge Lenggries;Jugendherbergstr. 10;83661 Lenggries;+49 8042 2424
241;Lindau;Jugendherberge Lindau;Herbergsweg 11;88131 Lindau;+49 8382 9671-0
246;Mittenwald;Jugendherberge Mittenwald;Buckelwiesen 7;82481 Mittenwald;+49 8823 1701
247;Mühldorf a. Inn;Jugendherberge Mühldorf;Friedrich-Ludwig-Jahn-Str. 19;84453 Mühldorf a. Inn;+49 8631 7370
248;München-City;Jugendherberge München-City;Winthirplatz 8;80639 München;+49 89 202449-0
249;München-Park;Jugendherberge München-Park;Miesingstr. 4;81379 München;+49 89 7857677-0
251;Neuschönau-Waldhäuser;Jugendherberge Neuschönau;Herbergsweg 2;94556 Neuschönau;+49 8553 6000
253;Nürnberg;Jugendherberge Nürnberg;Burg 2;90403 Nürnberg;+49 911 230936-0
254;Oberammergau;Jugendherberge Oberammergau;Malensteinweg 10;82487 Oberammergau;+49 8822 4114
255;Oberstdorf-Kornau;Jugendherberge Oberstdorf;Kornau 8;87561 Oberstdorf;+49 8322 9875-0
257;Ottobeuren;Jugendherberge Ottobeuren;Kaltenbrunnenweg 11;87724 Ottobeuren;+49 8332 368
258;Passau;Jugendherberge Passau;Oberhaus 125;94034 Passau;+49 851 49378-0
259;Pottenstein;Jugendherberge Pottenstein;Jugendherbergstr. 20;91278 Pottenstein;+49 9243 9291-0
261;Pullach;Jugendherberge Pullach;Burg Schwaneck;82049 Pullach;+49 89 744866-70
262;Regensburg;Jugendherberge Regensburg;Wöhrdstr. 60;93059 Regensburg;+49 941 466283-0
263;Rothenburg ob der Tauber;Jugendherberge Rothenburg;Mühlacker 1;91541 Rothenburg ob der Tauber;+49 9861 9416-0
264;Rothenfels;Jugendherberge Burg Rothenfels;Bergrothenfelser Str. 71;97851 Rothenfels;+49 9393 99999-0
265;Saldenburg;Jugendherberge Saldenburg;Ritter-Tuschl-Str. 20;94163 Saldenburg;+49 8504 1655
266;Schliersee;Jugendherberge Schliersee;Josefstaler Str. 19;83727 Schliersee;+49 8026 9738-0
267;Schweinfurt;Jugendherberge Schweinfurt;Am Unteren Marienbach 3;97421 Schweinfurt;+49 9721 675295-0
268;Spalt-Wernfels;Jugendherberge Burg Wernfels;Burgweg 7-9;91174 Spalt;+49 9873 976120
273;Trausnitz;Jugendherberge Burg Trausnitz;Burggasse 2;92555 Trausnitz;+49 9655 9215-0
274;Walchensee;Jugendherberge Walchensee;Urfeld 17;82432 Walchensee;+49 8851 230
277;Falkenberg-Tannenlohe;Jugendherberge Tannenlohe;Tannenlohe 1;95685 Falkenberg;+49 9637 267
280;Wunsiedel;Jugendherberge Wunsiedel;Am Katharinenberg 4;95632 Wunsiedel;+49 9232 91560-0
281;Würzburg;Jugendherberge Würzburg;Fred-Joseph-Platz 2;97082 Würzburg;+49 931 467786-0
288;Bispingen;Jugendherberge Bispingen;Töpinger Str. 42;29646 Bispingen;+49 5194 2375
290;Braunlage;Jugendherberge Braunlage;Von-Langen-Str. 28;38700 Braunlage;+49 5520 2238
293;Bad Fallingbostel;Jugendherberge Bad Fallingbostel;Lietweg 1;29683 Bad Fallingbostel;+49 5162 2274
294;Goslar;Jugendherberge Goslar;Rammelsberger Str. 25;38644 Goslar;+49 5321 22240
295;Göttingen;Jugendherberge Göttingen;Habichtweg 2;37075 Göttingen;+49 551 57622
297;Hahnenklee;Jugendherberge Hahnenklee;Hahnenkleer Str. 11;38644 Goslar;+49 5325 2256
298;Hameln;Jugendherberge Hameln;Fischbecker Str. 33;31785 Hameln;+49 5151 3425
299;Hankensbüttel;Jugendherberge Hankensbüttel;Helmrichsweg 24;29386 Hankensbüttel;+49 5832 2500
300;Hann. Münden;Jugendherberge Hann. Münden;Prof.-Oelkers-Str. 10;34346 Hann. Münden;+49 5541 8853
301;Hannover International;Jugendherberge Hannover International;Ferdinand-Wilhelm-Fricke-Weg 1;30169 Hannover;+49 511 1317674
302;Hildesheim;Jugendherberge Hildesheim;An der Scharlake 39;31135 Hildesheim;+49 5121 21577
304;Lingen;Jugendherberge Lingen;Lindenstr. 33;49808 Lingen (Ems);+49 591 61067
306;Lüneburg;Jugendherberge Lüneburg;Soltauer Str. 133;21335 Lüneburg;+49 4131 41864
308;Meppen;Jugendherberge Meppen;Helter Damm 1;49716 Meppen;+49 5931 88203
309;Norderney;Jugendherberge Norderney;Mühlenstr. 1;26548 Norderney;+49 4932 2341
310;Norddeich;Jugendherberge Norddeich;Strandstr. 1;26506 Norden;+49 4931 97200
312;Oldenburg;Jugendherberge Oldenburg;Straßburger Str. 6;26123 Oldenburg;+49 441 87135
313;Osnabrück;Jugendherberge Osnabrück;Iburger Str. 183;49082 Osnabrück;+49 541 54284
315;Papenburg;Jugendherberge Papenburg;Splitting rechts 32;26871 Papenburg;+49 4961 3322
317;Rotenburg (Wümme);Jugendherberge Rotenburg;Verdener Str. 47;27356 Rotenburg (Wümme);+49 4261 3083
318;Schillighörn;Jugendherberge Schillighörn;Mellumweg 1;26434 Wangerland;+49 4463 414
319;Stade;Jugendherberge Stade;Bremervörder Str. 101;21682 Stade;+49 4141 3131
320;Uelzen;Jugendherberge Uelzen;Hannoversche Str. 31;29525 Uelzen;+49 581 2121
321;Vechta;Jugendherberge Vechta;Antonstr. 1;49377 Vechta;+49 4441 81133
322;Verden;Jugendherberge Verden;Am Moor 10;27283 Verden (Aller);+49 4231 3300
323;Wilhelmshaven;Jugendherberge Wilhelmshaven;Rüstersieler Str. 58;26386 Wilhelmshaven;+49 4421 22273
324;Wolfsburg;Jugendherberge Wolfsburg;Unter den Eichen 55;38446 Wolfsburg;+49 5361 54882
326;Bad Bentheim;Jugendherberge Bad Bentheim;An der Jugendherberge 1;48455 Bad Bentheim;+49 5922 99010
327;Bad Driburg;Jugendherberge Bad Driburg;Brunnenstr. 4;33014 Bad Driburg;+49 5253 93230
328;Bad Honnef;Jugendherberge Bad Honnef;Selhofer Str. 106;53604 Bad Honnef;+49 2224 93070
329;Bad Münstereifel;Jugendherberge Bad Münstereifel;Herbergsweg 1;53902 Bad Münstereifel;+49 2253 5420
330;Bielefeld;Jugendherberge Bielefeld;Hermann-Kleinewächter-Str. 1;33602 Bielefeld;+49 521 175990
331;Bonn;Jugendherberge Bonn;Haager Weg 42;53127 Bonn;+49 228 289970
332;Burg Monschau;Jugendherberge Burg Monschau;Auf dem Schloss 4;52156 Monschau;+49 2472 97050
333;Detmold;Jugendherberge Detmold;Schirrmannstr. 49;32756 Detmold;+49 5231 24777
334;Dortmund;Jugendherberge Dortmund;Silberstr. 24-26;44137 Dortmund;+49 231 140074
335;Duisburg Sportpark;Jugendherberge Duisburg Sportpark;Kruppstr. 9;47055 Duisburg;+49 203 7383110
336;Düsseldorf;Jugendherberge Düsseldorf;Düsseldorfer Str. 1;40545 Düsseldorf;+49 211 557310
337;Essen;Jugendherberge Essen;Pastoratsberg 2;45239 Essen;+49 201 491163
338;Gelsenkirchen;Jugendherberge Gelsenkirchen;Adenauerallee 103;45891 Gelsenkirchen;+49 209 9521410
339;Hagen;Jugendherberge Hagen;Eppenhauser Str. 65;58093 Hagen;+49 2331 72849
340;Haltern am See;Jugendherberge Haltern;Stockwieser Damm 25;45721 Haltern am See;+49 2364 93330
341;Hattingen;Jugendherberge Hattingen;Henschelstr. 6;45525 Hattingen;+49 2324 91560
342;Hellenthal;Jugendherberge Hellenthal;Kölner Str. 7;53940 Hellenthal;+49 2482 91390
343;Kleve;Jugendherberge Kleve;St.-Anna-Str. 46;47533 Kleve;+49 2821 71330
344;Köln-Deutz;Jugendherberge Köln-Deutz;Siegesstr. 5;50679 Köln;+49 221 814711
345;Köln-Riehl;Jugendherberge Köln-Riehl;An der Schanz 14;50735 Köln;+49 221 9765130
346;Krefeld;Jugendherberge Krefeld;Uerdinger Str. 627;47800 Krefeld;+49 2151 52880
347;Mönchengladbach;Jugendherberge Mönchengladbach;Kreuzherrenstr. 5;41061 Mönchengladbach;+49 2161 17800
348;Münster;Jugendherberge Münster;Bismarckallee 31;48151 Münster;+49 251 5301330
349;Nideggen;Jugendherberge Nideggen;Burg 1;52385 Nideggen;+49 2427 90500
350;Paderborn;Jugendherberge Paderborn;Meinolfstr. 36;33102 Paderborn;+49 5251 34310
351;Ratingen;Jugendherberge Ratingen;Lintorfer Weg 18;40885 Ratingen;+49 2102 94250
352;Rheine;Jugendherberge Rheine;Auf dem Thie 5;48431 Rheine;+49 5971 92660
353;Soest;Jugendherberge Soest;Bergenthalpark 1;59494 Soest;+49 2921 13881
354;Wuppertal;Jugendherberge Wuppertal;Obere Lichtenplatzer Str. 70;42287 Wuppertal;+49 202 552372
355;Xanten;Jugendherberge Xanten;Bankscher Weg 4;46509 Xanten;+49 2801 71130
356;Bad Berleburg;Jugendherberge Bad Berleburg;Astenstr. 10;57319 Bad Berleburg;+49 2751 80130
357;Biggesee;Jugendherberge Biggesee;Am Sonderner Kopf 3;57462 Olpe;+49 2761 94410
358;Brilon;Jugendherberge Brilon;Hölsterloh 1;59929 Brilon;+49 2961 2020
359;Herscheid;Jugendherberge Herscheid;Am Rahlenberg 7;58849 Herscheid;+49 2357 1726
360;Hochsauerland;Jugendherberge Winterberg;Am Waltenberg 30;59955 Winterberg;+49 2981 2280
401;Dahn;Felsenland-Jugendherberge;Am Wachtfelsen 1;66994 Dahn;+49 6391 1769
402;Daun;Eifelmaar-Jugendherberge;Maria-Hilf-Straße 21;54550 Daun;+49 6592 2884
403;Diez;Grafenschloss-Jugendherberge;Schloßberg 8;65582 Diez;+49 6432 2481
404;Dreisbach-Mettlach;Jugendherberge an der Saarschleife;Herbergstraße 1;66693 Dreisbach-Mettlach;+49 6868 270
405;Gerolstein;Eifelsteig-Jugendherberge;Zur Büschkapelle 1;54568 Gerolstein;+49 6591 4745
406;Hermeskeil;Hunsrück-Jugendherberge;Adolf-Kolping-Straße 4;54411 Hermeskeil;+49 6503 3097
407;Hochspeyer;Pfälzerwald-Jugendherberge;Trippstadter Straße 150;67691 Hochspeyer;+49 6305 336
409;Idar-Oberstein;Nahe-Hunsrück-Jugendherberge;Alte Treibe 23;55743 Idar-Oberstein;+49 6781 24366
410;Koblenz;Jugendherberge Festung Ehrenbreitstein;;56077 Koblenz;+49 261 972870
411;Mainz;Rhein-Main-Jugendherberge;Otto-Brunfels-Schneise 4;55130 Mainz;+49 6131 85332
412;Manderscheid;Vulkaneifel-Jugendherberge;Mosenbergstraße 17;54531 Manderscheid;+49 6572 557
413;Mayen;Vulkanpark-Jugendherberge;Am Knüppchen 5;56727 Mayen;+49 2651 2355
417;Neustadt/Weinstraße;Pfalz-Jugendherberge;Hans-Geiger-Straße 27;67434 Neustadt;+49 6321 2289
418;Oberwesel;Rheintal-Jugendherberge;Auf dem Schönberg;55430 Oberwesel;+49 6744 93330
419;Prüm;Eifel-Jugendherberge;Kalvarienbergstraße 5;54595 Prüm;+49 6551 2500
420;Saarbrücken;Europa-Jugendherberge;Meerwiesertalweg 31;66123 Saarbrücken;+49 681 33040
421;Saarburg;Saarblick-Jugendherberge;Bottelter Straße 8;54439 Saarburg;+49 6581 2555
423;Speyer;Kurpfalz-Jugendherberge;Geibstraße 5;67346 Speyer;+49 6232 61597
424;St. Goar;Loreley-Jugendherberge;Bismarckweg 17;56329 St. Goar;+49 6741 388
427;Thallichtenberg;Jugendherberge Burg Lichtenberg;Burgstraße 12;66871 Thallichtenberg;+49 6381 2632
428;Tholey;Schaumberg-Jugendherberge;Am Schaumberg;66636 Tholey;+49 6853 2271
429;Traben-Trarbach;Mosel-Jugendherberge;Hirtenpfad 6;56841 Traben-Trarbach;+49 6541 9278
430;Trier;Römerstadt-Jugendherberge;An der Jugendherberge 4;54292 Trier;+49 651 146620
431;Weiskirchen;Hochwald-Jugendherberge;Jugendherbergstraße 12;66709 Weiskirchen;+49 6876 231
432;Wolfstein;Königsland-Jugendherberge;Röther Weg 24;67752 Wolfstein;+49 6304 1408
433;Worms;Rheinhessen-Jugendherberge;Dechaneigasse 1;67547 Worms;+49 6241 25780
434;Aachen;Euregionales Jugendgästehaus;Maria-Theresia-Allee 260;52074 Aachen;+49 241 71101-0
435;Bad Honnef;Jugendherberge Bad Honnef;Selhofer Str. 106;53604 Bad Honnef;+49 2224 98981-0
436;Bad Münstereifel;Jugendherberge Bad Münstereifel;Herbergsweg 1–5;53902 Bad Münstereifel;+49 2253 54174-0
437;Blankenheim;Jugendherberge Burg Blankenheim;Burg 1;53945 Blankenheim;+49 2449 9509-0
438;Bonn;Jugendherberge Bonn;Haager Weg 42;53127 Bonn;+49 228 289970
441;Düsseldorf;City-Hostel;Düsseldorfer Str. 1;40545 Düsseldorf;+49 211 557310
443;Essen;Jugendherberge Essen;Pastoratsberg 2;45239 Essen;+49 201 125832-0
444;Gemünd Vogelsang;Jugendherberge Nationalpark Eifel;Im Wingertchen 9;53937 Schleiden;+49 2444 91492-0
445;Hellenthal;Jugendherberge für Erlebnispädagogik;Platis 3;53940 Hellenthal;+49 2482 12562-0
446;Nettetal-Hinsbeck;Zirkus-Jugendherberge;Heide 1;41334 Nettetal-Hinsbeck;+49 2153 95172-0
449;Kleve;St. Annaberg;St. Annaberg 2;47533 Kleve;+49 2821 891450
450;Köln-Deutz;City-Hostel;Siegesstr. 5;50679 Köln;+49 221 814711
451;Köln-Riehl;City-Hostel;An der Schanz 14;50735 Köln;+49 221 976513-0
453;Lindlar;Jugendherberge Lindlar;Jugendherberge 30;51789 Lindlar;+49 2266 47844-0
454;Mönchengladbach;Jugendherberge Hardter Wald;Brahmsstr. 156;41169 Mönchengladbach;+49 2161 56090-0
455;Monschau;Jugendherberge Burg Monschau;Auf dem Schloß 4;52156 Monschau;+49 2472 97039-0
456;Monschau-Hargard;Jugendherberge Hargard;Hargardsgasse 5;52156 Monschau;+49 2472 97047-0
459;Neuss-Uedesheim;Jugendherberge Neuss;Macherscheider Str. 109;41468 Neuss;+49 2131 71875-0
461;Radevormwald;Jugendherberge Radevormwald;Telegrafenstr. 50;42477 Radevormwald;+49 2195 6888-11
462;Ratingen;Jugendherberge Ratingen;Götschenbeck 8;40882 Ratingen;+49 2102 2040-0
463;Windeck-Rosbach;Wald-Jugendherberge;Herbergstr. 19;51570 Windeck;+49 2292 95626-0
464;Simmerath-Rurberg;Jugendherberge für Natur- und Abenteuersport;Jugendherberge 1;52152 Simmerath;+49 2473 93871-0
466;Velbert;Jugendherberge Velbert;Am Buschberg 17;42549 Velbert;+49 2051 84317
467;Wiehl;Wellness-Jugendherberge;An der Krähenhardt 6;51674 Wiehl;+49 2262 72777-0
468;Wipperfürth;Sport-Jugendherberge;Ostlandstr. 34;51688 Wipperfürth;+49 2267 65973-0
469;Wuppertal;Jugendherberge Wuppertal;Obere Lichtenplatzer Str. 70;42287 Wuppertal;+49 202 281576-0
470;Bad Homburg;Jugendherberge Bad Homburg;Mühlweg 17;61348 Bad Homburg;+49 6172 23950
471;Helmarshausen;Jugendherberge Helmarshausen;Gottesbürener Str. 15;34385 Bad Karlshafen;+49 5672 1027
473;Biedenkopf;Jugendherberge Biedenkopf;Am Freibad 15;35216 Biedenkopf;+49 6461 5100
474;Burg Breuberg;Jugendherberge Burg Breuberg;Burg Breuberg;64747 Breuberg im Odenwald;+49 6165 3403
475;Büdingen;Jugendherberge Büdingen;Richard-Schirrmann-Weg 1;63654 Büdingen;+49 6042 3697
476;Darmstadt;Jugendherberge Darmstadt;Landgraf-Georg-Str. 119;64287 Darmstadt;+49 6151 45293
477;Erbach;Jugendherberge Erbach;Eulbacher Str. 33;64711 Erbach;+49 6062 3515
478;Eschwege;Jugendherberge Eschwege;Jardin-de-Saint-Mandé 1;37269 Eschwege;+49 5651 60099
479;Frankfurt/Main;Jugendherberge Frankfurt;Deutschherrnufer 12;60594 Frankfurt/Main;+49 69 6100150
480;Fulda;Jugendherberge Fulda;Schirrmannstr. 31;36041 Fulda;+49 661 73389
481;Gersfeld/Rhön;Jugendherberge Gersfeld;Jahnstr. 6;36129 Gersfeld;+49 6654 340
483;Grävenwiesbach;Jugendherberge Grävenwiesbach;Hasselborner Str. 20;61279 Grävenwiesbach;+49 6086 520
484;Starkenburg;Jugendherberge Starkenburg;Starkenburgweg 53;64646 Heppenheim;+49 6252 77323
486;Oberbernhards;Jugendherberge Oberbernhards;Oberbernhards 5;36115 Hilders-Oberbernhards;+49 6657 240
488;Hohe Fahrt am Edersee;Jugendherberge Hohe Fahrt;Hohe Fahrt 1;34516 Vöhl-Asel;+49 5635 251
489;Kassel;Jugendherberge Kassel;Schenkendorfstr. 18;34119 Kassel;+49 561 776455
490;Korbach;Jugendherberge Korbach;Enser Str. 9;34497 Korbach;+49 5631 8360
492;Lauterbach;Jugendherberge Lauterbach;Fritz-Ebel-Allee 50;36341 Lauterbach;+49 6641 2181
495;Marburg;Jugendherberge Marburg;Jahnstr. 1;35037 Marburg;+49 6421 23461
497;Rotenburg an der Fulda;Jugendherberge Rotenburg;Obertor 17;36199 Rotenburg an der Fulda;+49 6623 2792
499;Oberreifenberg;Jugendherberge Oberreifenberg;Limesstr. 14;61389 Schmitten-Oberreifenberg;+49 6082 2440
500;Hoherodskopf;Jugendherberge Hoherodskopf;Am Hoherodskopf 1;63679 Schotten;+49 6044 2760
502;Waldeck am Edersee;Jugendherberge Waldeck;Klippenberg 3;34513 Waldeck;+49 5623 5313
